snapshot_date,total_solved,easy_solved,medium_solved,hard_solved,ranking,reputation
2025-07-09T22:46:40.660231,32,19,13,0,2641628,0
2025-07-10T19:10:08.943375,32,19,13,0,2643868,0
2025-07-14T06:19:31.475387,32,19,13,0,2649685,0
2025-07-21T06:19:39.785756,36,23,13,0,2493646,0
2025-07-28T06:20:59.706261,42,24,18,0,2292548,0
2025-08-04T06:25:07.755125,42,24,18,0,2306894,0
2025-08-11T06:20:28.106282,42,24,18,0,2320232,0
2025-08-18T06:19:56.026781,58,37,21,0,1988058,0
2025-08-25T06:18:44.579285,84,52,28,4,1467998,0
2025-09-01T06:19:06.892045,97,55,35,7,1323034,0
2025-09-08T06:18:16.870126,97,55,35,7,1330536,0
2025-09-15T06:18:33.630826,97,55,35,7,1337860,0
2025-09-22T06:18:19.045624,97,55,35,7,1344979,0
2025-09-29T06:18:17.519275,97,55,35,7,1351761,0
2025-10-06T06:18:00.791876,97,55,35,7,1358115,0
2025-10-13T06:19:05.618398,97,55,35,7,1364992,0
2025-10-20T06:18:22.251876,97,55,35,7,1371216,0
2025-10-27T06:19:53.505753,97,55,35,7,1377238,0
2025-11-03T06:19:03.812614,97,55,35,7,1379896,0
2025-11-10T06:19:50.759837,97,55,35,7,1389042,0
2025-11-17T06:19:22.579219,97,55,35,7,1394402,0
2025-11-24T06:19:29.285907,97,55,35,7,1399850,0
2025-12-01T06:20:52.953665,97,55,35,7,1404783,0
2025-12-08T06:21:30.448881,97,55,35,7,1409883,0
2025-12-15T06:21:45.649258,97,55,35,7,1415210,0
2025-12-22T06:21:27.171297,97,55,35,7,1420573,0
2025-12-29T06:22:35.099311,97,55,35,7,1426162,0
2026-01-12T06:23:52.244070,97,55,35,7,1439708,0
2026-01-19T06:25:45.316208,97,54,36,7,1446499,0
2026-01-26T06:24:47.022438,97,54,36,7,1453979,0
2026-02-02T06:52:01.537648,97,54,36,7,1461689,0
2026-02-09T06:54:46.775618,97,54,36,7,1469360,0
2026-02-16T06:52:56.724938,97,54,36,7,1476562,0
2026-02-23T06:53:50.983993,97,54,36,7,1484143,0
2026-03-02T06:44:19.725214,97,54,36,7,1491887,0
2026-03-09T06:50:12.714885,97,54,36,7,1499267,0
2026-03-16T07:05:41.483572,97,54,36,7,1506774,0
2026-03-23T06:58:31.239175,97,54,36,7,1513391,0
2026-03-30T07:15:34.050842,97,54,36,7,1520361,0
2026-04-06T07:17:33.847121,97,54,36,7,1527012,0
2026-04-13T07:48:11.782091,97,54,36,7,1533552,0
2026-04-20T07:51:09.803089,97,54,36,7,1539891,0
2026-04-27T08:05:18.827878,97,54,36,7,1545774,0
2026-05-04T08:17:04.799927,97,54,36,7,1551293,0
2026-05-11T08:58:06.917214,97,54,36,7,1556852,0
2026-05-18T09:39:43.402524,97,54,36,7,1562525,0
2026-05-25T09:48:36.390196,97,54,36,7,1568314,0
